id,website,link,message,nextChapter,tracking
overgeared,wuxia,https://wuxiaworld.com/novel/overgeared/og-chapter-,Chapter ### of overgeared is out!,1172,True
soloLeveling,mangadex,https://mangadex.org/title/31477/solo-leveling/chapters,Chapter ### of Solo Leveling is out!,105,True
meguroSan,mangadex,https://mangadex.org/title/31233/it-s-not-meguro-san-s-first-time/chapters,Chapter ### of Meguro-san is up!,23,True
swordSheaths,leviatan,https://leviatanscans.com/comics/215022-sword-sheaths-child,Chapter ### of Sword Sheath's child is out,9,True
talesDemonsAndGods,mangakakalot,https://manganelo.com/manga/hyer5231574354229,Tales of Demons and Gods (Chapter ###) is now online!,261.5,True
towerOfGod,webtoons,https://www.webtoons.com/en/fantasy/tower-of-god/list?title_no=95,New ToG chapter! it's chapter ###!,465,True
battleThroughTheHeavens,mangadex,https://mangadex.org/title/11804/fights-breaking-through-the-heavens/chapters,Chapter ### of BTTH is up,282,True
mageAndDemonQueen,webtoons,https://www.webtoons.com/en/fantasy/mage-and-demon-queen/list?title_no=1438,New chapter of Mage and Demon Queen - ###,96,True
theGamer,webtoons,https://www.webtoons.com/en/fantasy/the-gamer/list?title_no=88,The Gamer ### has arrived!,313,True
onePunchMan,mangadex,https://mangadex.org/title/7139/one-punch-man/chapters,One Punch Man ### is here!,126,True
nagatoro,mangadex,https://mangadex.org/title/22631/ijiranaide-nagatoro-san/chapters,Nagatoro ### is ready to be read!,52,True
tenseiSlime,mangadex,https://mangadex.org/title/15553/tensei-shitara-slime-datta-ken/chapters,Rimuru sliming in chapter ###!,66,True
bokuNoHero,mangadex,https://mangadex.org/title/12714/boku-no-hero-academia/chapters,Boku no Hero chapter ### is up!,259,True
onePiece,mangakakalot,https://manganelo.com/manga/read_one_piece_manga_online_free4,Chapter ### of One Piece is out!,970,True
onePunchManWebcomic,mangadex,https://mangadex.org/title/9123/one-punch-man-webcomic-original/chapters,One Punch man(webcomic) ### is here!,121,True
madeInAbyss,mangadex,https://mangadex.org/title/16482/made-in-abyss/chapters,MADE IN ABYSS IS OUT!!!!!! CHAPTER ### IS HERE!!!!,52,True
housekiNoKuni,mangadex,https://mangadex.org/title/10749/houseki-no-kuni/chapters,Houseki no Kuni chapter ### is out.,86,True
farawayPaladin,mangadex,https://mangadex.org/title/24651/saihate-no-paladin/chapters,Chapter ### of faraway paladin is out!,22,True
komiSan,mangadex,https://mangadex.org/title/16617/komi-san-wa-komyushou-desu/chapters,Chapter ### of Komi is here!,239,True
sonoBisqueDoll,mangadex,https://mangadex.org/title/24104/sono-bisque-doll-wa-koi-wo-suru/chapters,Sono bisque doll is out. Chapter ###,35,True
motoTakagiSan,mangadex,https://mangadex.org/title/21843/karakai-jouzu-no-moto-takagi-san/chapters,Takagi-san (moto) chapter ### is out!,121,True
takagiSan,mangadex,https://mangadex.org/title/13108/karakai-jouzu-no-takagi-san/chapters,Takagi-san chapter ### is out!,119,True
oneesan,mangadex,https://mangadex.org/title/25264/danshi-koukousei-wo-yashinaitai-onee-san-no-hanashi/chapters,Onee-san ch.### is out!,115,True
swordKing,leviatan,https://leviatanscans.com/comics/11268-survival-story-of-a-sword-king-in-a-fantasy-world,Sword King Chapter ### has arrived!!,29,True
sorcererKing,leviatan,https://leviatanscans.com/comics/i-am-the-sorcerer-king,Sorcerer King Chapter ### has arrived!!,77,True
yakuzaReincarnation,mangadex,https://mangadex.org/title/43476/yakuza-reincarnation/chapters,Yakuza Reincarnation ch.### is OUT!!!!,4,True
retunerMagic,leviatan,https://leviatanscans.com/comics/157887-a-returners-magic-should-be-special,A Returner's Magic chapter ### came out!,90,True
scholarReincarnation,mangakakalot,https://manganelo.com/manga/yrlq217991556843654,The Scholar's Reincarnation ch.### came out!,124,True
legendaryMoonlight,mangakakalot,https://manganelo.com/manga/the_legendary_moonlight_sculptor,The legendary monnlight schulptor ch.### is out!,133,True
kaguyaSama,mangakakalot,https://manganelo.com/manga/kaguyasama_wa_kokurasetai_tensaitachi_no_renai_zunousen,Kaguya chapter ### is out!,177,True
